2024-03-20 10:44:47,685; INFO; parameters.<module>.102: Pasta local: \\Riofs\dados\Documentos Financeiro\Extratos bancarios\Ebury\2024\03 - Março
2024-03-20 10:44:47,933; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
2024-03-20 10:44:53,386; INFO; teste.waitForImage.29: LICENCAS EXCEDIDAS image found.
2024-03-20 10:45:15,761; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
2024-03-20 10:45:21,121; INFO; teste.waitForImage.29: LICENCAS EXCEDIDAS image found.
2024-03-20 10:45:43,512; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
2024-03-20 10:45:48,871; INFO; teste.waitForImage.29: LICENCAS EXCEDIDAS image found.
2024-03-20 10:46:11,183; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
2024-03-20 10:46:16,558; INFO; teste.waitForImage.29: LICENCAS EXCEDIDAS image found.
2024-03-20 10:46:38,886; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
2024-03-20 10:46:44,277; INFO; teste.waitForImage.29: LICENCAS EXCEDIDAS image found.
2024-03-20 10:47:06,605; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
2024-03-20 10:47:11,964; INFO; teste.waitForImage.29: LICENCAS EXCEDIDAS image found.
2024-03-20 10:47:34,293; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
2024-03-20 10:47:39,808; INFO; teste.waitForImage.29: LICENCAS EXCEDIDAS image found.
2024-03-20 10:48:02,121; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
2024-03-20 10:48:07,496; INFO; teste.waitForImage.29: LICENCAS EXCEDIDAS image found.
2024-03-20 10:48:29,808; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
2024-03-20 10:48:35,167; INFO; teste.waitForImage.29: LICENCAS EXCEDIDAS image found.
2024-03-20 10:48:57,496; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
2024-03-20 10:49:02,856; INFO; teste.waitForImage.29: LICENCAS EXCEDIDAS image found.
2024-03-20 10:49:25,199; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
2024-03-20 10:49:30,496; INFO; teste.waitForImage.29: LICENCAS EXCEDIDAS image found.
2024-03-20 10:49:52,808; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
2024-03-20 10:49:58,255; INFO; teste.waitForImage.29: LICENCAS EXCEDIDAS image found.
2024-03-20 10:50:20,589; INFO; teste.waitForImage.29: LANÇAMENTOS image found.
